category,type,mean_price,mean_rating,mean_reviews
ART_AND_DESIGN,Free,0.0,4.3,23230.11
ART_AND_DESIGN,Paid,1.99,4.7,722.0
AUTO_AND_VEHICLES,Free,0.0,4.2,14140.28
AUTO_AND_VEHICLES,Paid,4.49,4.6,1387.67
BEAUTY,Free,0.0,4.3,7476.23
BOOKS_AND_REFERENCE,Free,0.0,4.3,86183.08
BOOKS_AND_REFERENCE,Paid,4.28,4.3,64.14
BUSINESS,Free,0.0,4.1,24179.2
BUSINESS,Paid,14.61,4.1,2094.33
COMICS,Free,0.0,4.2,41822.7
COMMUNICATION,Free,0.0,4.1,992108.17
COMMUNICATION,Paid,3.08,4.1,3119.04
DATING,Free,0.0,4.0,21951.13
DATING,Paid,4.57,3.4,268.0
EDUCATION,Free,0.0,4.4,115908.72
EDUCATION,Paid,4.49,4.8,8661.25
ENTERTAINMENT,Free,0.0,4.1,347526.41
ENTERTAINMENT,Paid,3.99,4.6,5004.5
EVENTS,Free,0.0,4.4,2555.84
EVENTS,Paid,109.99,,0.0
FAMILY,Free,0.0,4.2,85068.52
FAMILY,Paid,13.11,4.3,19850.12
FINANCE,Free,0.0,4.1,38533.26
FINANCE,Paid,170.64,3.8,1364.59
FOOD_AND_DRINK,Free,0.0,4.2,57469.37
FOOD_AND_DRINK,Paid,4.24,4.4,1698.5
GAME,Free,0.0,4.2,707783.19
GAME,Paid,3.47,4.4,19181.11
HEALTH_AND_FITNESS,Free,0.0,4.2,78078.98
HEALTH_AND_FITNESS,Paid,4.29,4.4,3052.87
HOUSE_AND_HOME,Free,0.0,4.2,26079.01
LIBRARIES_AND_DEMO,Free,0.0,4.2,10925.63
LIBRARIES_AND_DEMO,Paid,0.99,,4.0
LIFESTYLE,Free,0.0,4.1,33672.14
LIFESTYLE,Paid,124.26,4.2,2495.89
MAPS_AND_NAVIGATION,Free,0.0,4.0,140650.48
MAPS_AND_NAVIGATION,Paid,5.39,3.9,1437.6
MEDICAL,Free,0.0,4.1,3727.45
MEDICAL,Paid,12.0,4.2,241.04
NEWS_AND_MAGAZINES,Free,0.0,4.1,91785.82
NEWS_AND_MAGAZINES,Paid,1.99,4.8,100.5
PARENTING,Free,0.0,4.3,16378.71
PARENTING,Paid,4.79,3.4,4183.0
PERSONALIZATION,Free,0.0,4.3,180508.23
PERSONALIZATION,Paid,1.86,4.4,3619.17
PHOTOGRAPHY,Free,0.0,4.2,401664.27
PHOTOGRAPHY,Paid,6.23,4.0,6064.79
PRODUCTIVITY,Free,0.0,4.2,160170.31
PRODUCTIVITY,Paid,8.96,4.2,6132.89
SHOPPING,Free,0.0,4.2,222756.23
SHOPPING,Paid,2.74,4.5,242.0
SOCIAL,Free,0.0,4.3,965794.74
SOCIAL,Paid,5.32,3.7,80.67
SPORTS,Free,0.0,4.2,116937.47
SPORTS,Paid,4.17,4.3,6276.46
TOOLS,Free,0.0,4.0,305987.5
TOOLS,Paid,3.43,4.2,2204.32
TRAVEL_AND_LOCAL,Free,0.0,4.1,129476.66
TRAVEL_AND_LOCAL,Paid,4.16,4.1,1506.08
VIDEO_PLAYERS,Free,0.0,4.0,424347.18
VIDEO_PLAYERS,Paid,2.62,4.1,3341.75
WEATHER,Free,0.0,4.2,171249.62
WEATHER,Paid,4.05,4.4,17055.12
